WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,RECOMMENDATION_DATE,FLAG,CONSTITUENCY_ID,WORK_STAGE,LETTER_NO,SANCTION_AMOUNT,Sno,CONSTITUENCY,WORK_RECOMMENDATION_DTL_ID,TENURE_START_DATE,TENURE_END_DATE,SANCTION_DATE,FILE_STATUS,ATTACH_ID,Total_Amt
Normal/Others,WS/MP103/2025-2026/182781-Purchase of mobile water tankers,Madhya Pradesh,1,DHAR(DISTRICT COLLECTOR DHAR_IDA),Sitting MP,Dr. Kavita Patidar (2022-28),Providing water tanker Capacity 5500 Liter tyre 900X16 in GP Bijjor JP Dhar District Dhar,22-Mar-2025,1,545,Physical Inspection,LN/MP103/2024-2025/59,159212.0,9330,Sitting Rajya Sabha,182781,"Jun 30, 2022 12:00:00 AM","Jun 29, 2028 11:59:59 PM",09-Sep-2025,True,2074967,
Normal/Others,"WS/MP108/2024-2025/182839-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,1,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),Sitting MP,Dr. Anil Sukhdeorao Bonde (2022-28), Construction of road with small bridge ,18-Mar-2025,1,545,Work Completed,LN/MP108/2024-2025/65,1500000.0,9331,Sitting Rajya Sabha,182839,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",28-Mar-2025,True,2016300,
Normal/Others,WS/MP078/2025-2026/182903-Purchase of books and periodicals for libraries/digitization of library books,Himachal Pradesh,1,SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA),Sitting MP,Dr. Sikander Kumar (2022-28),Purchase of Books for different schools located in District Sirmour Through Dy Director Elementary Education at Nahan District Sirmour Himachal Pradesh Executing agency Dy Director Elementary Education Nahan ,17-Mar-2025,1,545,Physical Inspection,LN/MP078/2024-2025/276,1996880.0,9332,Sitting Rajya Sabha,182903,"Apr 3, 2022 12:00:00 AM","Apr 2, 2028 11:59:59 PM",02-Jun-2025,,,
Normal/Others,WS/MP18364/2025-2026/183008-Construction of community centers and community halls,Karnataka,1,BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA),Sitting MP,Shri Narayanasa K. Bhandage (2024-30),Construction of Community Hall.,19-Mar-2025,1,545,Work Completed,LN/MP18364/2024-2025/27,500000.0,9333,Sitting Rajya Sabha,183008,"Apr 3, 2024 12:00:00 AM","Apr 2, 2030 11:59:59 PM",09-Jan-2026,True,1920819,
Normal/Others,"WS/MP18298/2025-2026/183117-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,1,PALI(DISTRICT COLLECTOR PALI_IDA),Sitting MP,Shri Madan Rathore (2024-30),"Construction Work of Cement Concete Road From Panch Mokha Puliya towards Sarvoday Nagar, Along Nalla",18-Mar-2025,1,545,Work partially Completed,LN/MP18298/2024-2025/8,1600000.0,9334,Sitting Rajya Sabha,183117,"Apr 4, 2024 12:00:00 AM","Apr 3, 2030 11:59:59 PM",25-Jun-2025,,,
Normal/Others,WS/MP18298/2025-2026/183119-Improvement of electricity distribution infrastructure,Rajasthan,1,PALI(DISTRICT COLLECTOR PALI_IDA),Sitting MP,Shri Madan Rathore (2024-30),Electrification work for power system improvement and uninterrupted supply,18-Mar-2025,1,545,Work Completed,LN/MP18298/2024-2025/9,450000.0,9335,Sitting Rajya Sabha,183119,"Apr 4, 2024 12:00:00 AM","Apr 3, 2030 11:59:59 PM",19-Jun-2025,,,
Normal/Others,WS/MP18298/2025-2026/183139-Construction of bus-sheds or bus-stops,Rajasthan,1,PALI(DISTRICT COLLECTOR PALI_IDA),Sitting MP,Shri Madan Rathore (2024-30),public bus stand construction work,18-Mar-2025,1,545,Work partially Completed,LN/MP18298/2024-2025/10,500000.0,9336,Sitting Rajya Sabha,183139,"Apr 4, 2024 12:00:00 AM","Apr 3, 2030 11:59:59 PM",10-Jul-2025,,,
Normal/Others,WS/MP18405/2025-2026/183142-Lighting of public spaces,Kerala,1,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Sitting MP,Shri P. P. Suneer (2024-30),Installation of Solar Mini Mast light at Pottakulangara Temple Kurukkankunnu Road End  Ward 15 Trikkalangode Grama Panchayat,19-Apr-2025,1,545,Physical Inspection,LN/MP18405/2024-2025/27,297999.0,9337,Sitting Rajya Sabha,183142,"Jul 2, 2024 12:00:00 AM","Jul 1, 2030 11:59:59 PM",14-Jan-2026,True,2353166,
Normal/Others,WS/MP106/2026-2027/183632-Construction of additional rooms and halls in the existing public and community building,Madhya Pradesh,1,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Sitting MP,Shri Vivek K. Tankha (2022-28),Sarvbhom Bramhan Seva Ashram Nyas (Panjiyan No.437) naya ward no.73 Ranjhi Jabalpur sthit Bhwan main Atirikt Kaksh Nirman.,18-Mar-2025,1,545,Sanction,LN/MP106/2024-2025/317,500000.0,9338,Sitting Rajya Sabha,183632,"Jun 30, 2022 12:00:00 AM","Jun 29, 2028 11:59:59 PM",10-Apr-2026,,,
Trust and Society,WS/MP101/2025-2026/183650-Construction of public libraries and reading rooms,Kerala,1,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Sitting MP,Shri Sandosh Kumar P (2022-28),CONSTRUCTION OF SULTHANSHA GRANDHASAA BUILDING,18-Mar-2025,1,545,Sanction,LN/MP101/2024-2025/15,2500000.0,9339,Sitting Rajya Sabha,183650,"Apr 3, 2022 12:00:00 AM","Apr 2, 2028 11:59:59 PM",04-Apr-2025,,,
Normal/Others,WS/MP888/2025-2026/183657-Construction of additional rooms and halls in the existing public and community building,West Bengal,1,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Sitting MP,Shri Nagendra Ray (2023-29),"Construction for Canteen at Ground Floor and modification of 1st Floor of Cooch Behar Bhawan.
",18-Mar-2025,1,545,Vendor Identification,LN/MP888/2024-2025/9,6763570.0,9340,Sitting Rajya Sabha,183657,"Aug 19, 2023 12:00:00 AM","Aug 18, 2029 11:59:59 PM",01-Sep-2025,,,
