project_id,ml_anomaly_risk,ml_prediction,ml_decision_score
134096.0,17.6,NORMAL,0.1228
134100.0,8.9,NORMAL,0.1648
134101.0,1.3,NORMAL,0.2012
134102.0,11.9,NORMAL,0.15
134103.0,19.1,NORMAL,0.1158
134104.0,10.3,NORMAL,0.1579
134105.0,1.9,NORMAL,0.1983
134106.0,8.5,NORMAL,0.1665
134107.0,12.3,NORMAL,0.1483
134123.0,43.5,ANOMALY,-0.0012
134136.0,12.7,NORMAL,0.1466
134137.0,3.9,NORMAL,0.1884
134140.0,9.9,NORMAL,0.1598
134143.0,15.7,NORMAL,0.1321
134144.0,9.6,NORMAL,0.1611
134145.0,10.5,NORMAL,0.1569
134222.0,20.5,NORMAL,0.109
134223.0,20.9,NORMAL,0.1073
134224.0,20.5,NORMAL,0.109
134225.0,20.9,NORMAL,0.1073
134321.0,30.3,NORMAL,0.0621
134322.0,19.9,NORMAL,0.1119
134323.0,23.0,NORMAL,0.0971
134327.0,4.0,NORMAL,0.1881
134328.0,4.0,NORMAL,0.1881
134329.0,2.6,NORMAL,0.1948
134330.0,4.0,NORMAL,0.1881
134331.0,4.0,NORMAL,0.1883
134332.0,10.7,NORMAL,0.1561
134334.0,2.7,NORMAL,0.1945
134337.0,4.0,NORMAL,0.1881
134338.0,1.2,NORMAL,0.2014
134429.0,9.1,NORMAL,0.1637
134434.0,10.9,NORMAL,0.1552
134457.0,2.0,NORMAL,0.1978
134458.0,3.0,NORMAL,0.1931
134459.0,2.0,NORMAL,0.1977
134461.0,2.0,NORMAL,0.1977
134462.0,3.4,NORMAL,0.191
134463.0,3.2,NORMAL,0.1918
134479.0,2.3,NORMAL,0.1962
134588.0,10.3,NORMAL,0.1579
134589.0,13.2,NORMAL,0.1442
134591.0,23.2,NORMAL,0.0961
134629.0,18.0,NORMAL,0.1211
134630.0,19.7,NORMAL,0.1128
134631.0,17.1,NORMAL,0.1255
134632.0,19.1,NORMAL,0.1155
134633.0,19.4,NORMAL,0.114
134638.0,24.6,NORMAL,0.0895
134644.0,19.3,NORMAL,0.1147
134646.0,27.8,NORMAL,0.0741
134649.0,32.8,NORMAL,0.0502
134655.0,18.0,NORMAL,0.1209
134658.0,19.1,NORMAL,0.1156
134660.0,35.3,NORMAL,0.0378
134661.0,18.9,NORMAL,0.1169
134665.0,35.7,NORMAL,0.0361
134666.0,20.1,NORMAL,0.1111
134667.0,43.7,ANOMALY,-0.002
134668.0,25.3,NORMAL,0.086
134670.0,18.0,NORMAL,0.1211
134671.0,19.1,NORMAL,0.1159
134672.0,21.7,NORMAL,0.1032
134673.0,16.8,NORMAL,0.1266
134674.0,20.7,NORMAL,0.1081
134677.0,14.8,NORMAL,0.1361
134680.0,14.8,NORMAL,0.1361
134684.0,9.6,NORMAL,0.1611
134687.0,6.2,NORMAL,0.1774
134688.0,6.2,NORMAL,0.1774
134689.0,6.2,NORMAL,0.1774
134699.0,21.0,NORMAL,0.1064
134700.0,2.9,NORMAL,0.1932
134701.0,2.8,NORMAL,0.1937
134702.0,7.0,NORMAL,0.1739
134703.0,2.0,NORMAL,0.1979
134707.0,24.4,NORMAL,0.0901
134708.0,19.6,NORMAL,0.1132
134709.0,19.6,NORMAL,0.1132
134710.0,19.4,NORMAL,0.1144
134711.0,19.4,NORMAL,0.1144
134736.0,37.8,NORMAL,0.0261
134737.0,14.5,NORMAL,0.1379
134738.0,1.6,NORMAL,0.1997
134739.0,26.6,NORMAL,0.08
134740.0,35.0,NORMAL,0.0394
134741.0,0.8,NORMAL,0.2033
134742.0,5.9,NORMAL,0.1792
134780.0,22.6,NORMAL,0.0987
134781.0,22.6,NORMAL,0.0987
134782.0,22.6,NORMAL,0.0987
134783.0,22.6,NORMAL,0.0987
134784.0,22.6,NORMAL,0.0987
134785.0,23.0,NORMAL,0.0968
134786.0,23.0,NORMAL,0.0968
134787.0,23.0,NORMAL,0.0968
134788.0,23.0,NORMAL,0.0968
134789.0,23.0,NORMAL,0.0968
134790.0,22.2,NORMAL,0.1007
134791.0,7.5,NORMAL,0.1714
134792.0,22.2,NORMAL,0.1007
134793.0,22.2,NORMAL,0.1007
134797.0,8.6,NORMAL,0.166
134798.0,3.3,NORMAL,0.1913
134799.0,20.9,NORMAL,0.1069
134800.0,7.6,NORMAL,0.171
134801.0,6.3,NORMAL,0.1769
134802.0,9.8,NORMAL,0.1602
134803.0,5.2,NORMAL,0.1823
134804.0,4.1,NORMAL,0.1874
