project_id,cost_deviation,cost_deviation_pct,expenditure_ratio,rec_san_ratio,sanction_delay_days,completion_duration_days,project_age_days,spending_velocity,velocity_ratio,payment_frequency,payment_concentration,vendor_constituency_count,category_cost_ratio,expenditure_spread_days
176320.0,0.0,0.0,1.0,1.0,74.0,240.0,481.0,623.7006237006237,0.9085239085239085,1.0,1.0,4,0.7894736842105263,0.0
176321.0,0.0,0.0,1.0,1.0,74.0,321.0,481.0,623.7006237006237,0.9085239085239085,1.0,1.0,2,0.7894736842105263,0.0
176322.0,0.0,0.0,1.0,1.0,74.0,275.0,481.0,623.7006237006237,0.9085239085239085,1.0,1.0,2,0.7894736842105263,0.0
176323.0,0.0,0.0,1.0,1.0,74.0,174.0,481.0,623.7006237006237,0.9085239085239085,1.0,1.0,1,0.7894736842105263,0.0
176324.0,0.0,0.0,1.0,1.0,74.0,259.0,481.0,415.8004158004158,0.6056826056826057,1.0,1.0,2,0.5263157894736842,0.0
176325.0,,,,1.0,74.0,,481.0,,,0.0,,0,0.5263157894736842,
176326.0,0.0,0.0,1.0,1.0,74.0,174.0,481.0,623.7006237006237,0.9085239085239085,1.0,1.0,1,0.7894736842105263,0.0
176327.0,,,,1.0,81.0,,474.0,,,0.0,,0,0.5263157894736842,
176329.0,0.0,0.0,1.0,1.0,63.0,274.0,497.0,402.3199195171026,0.5411205200147423,1.0,1.0,1,0.5261921052631578,0.0
176331.0,0.0,0.0,1.0,1.0,31.0,476.0,529.0,1890.359168241966,2.017476413092043,1.0,1.0,1,2.6315789473684212,0.0
176338.0,-0.5000142857142857,-50.001428571428576,0.4999857142857143,1.0,281.0,,279.0,1254.4444444444443,1.654607274158564,1.0,1.0,1,1.8421052631578947,0.0
176361.0,-0.25,-25.0,0.75,1.0,120.0,,439.0,512.5284738041003,0.39464692482915714,1.0,1.0,13,0.7894736842105263,0.0
176362.0,-0.25,-25.0,0.75,1.0,451.0,,108.0,3472.222222222222,2.6736111111111107,1.0,1.0,13,1.3157894736842106,0.0
176364.0,0.0,0.0,1.0,1.0,41.0,351.0,518.0,1145.1389961389962,0.8524923637923638,2.0,0.7949533195545381,1,1.5610052631578948,58.0
176365.0,0.0,0.0,1.0,1.0,44.0,347.0,515.0,1164.6970873786408,0.8670522761596549,2.0,0.8080170851540215,1,1.578471052631579,0.0
176367.0,,,,1.0,127.0,,432.0,,,0.0,,0,1.5789473684210527,
176371.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176373.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
