project_id,rule_risk,ml_anomaly_risk,duplicate_risk,agency_risk,risk_score,risk_category,data_quality_score,evidence_count,confidence,top_reasons
133593.0,0.0,21.8,0.0,5.3,7.6,LOW,70.0,2,MODERATE,No significant risk indicators detected
133594.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133595.0,0.0,18.1,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133596.0,0.0,22.0,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133597.0,0.0,6.3,0.0,5.3,3.0,LOW,85.0,2,HIGH,No significant risk indicators detected
133598.0,57.1,7.0,0.0,5.3,20.3,LOW,70.0,3,MODERATE,Compliance rule violation detected
133599.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133600.0,0.0,19.8,0.0,5.3,7.0,LOW,85.0,2,HIGH,No significant risk indicators detected
133601.0,0.0,19.8,0.0,5.3,7.0,LOW,85.0,2,HIGH,No significant risk indicators detected
133602.0,0.0,20.4,0.0,5.3,7.2,LOW,85.0,2,HIGH,No significant risk indicators detected
133603.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133604.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133605.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133606.0,57.1,6.5,0.0,5.3,20.1,LOW,70.0,3,MODERATE,Compliance rule violation detected
133607.0,57.1,6.5,0.0,5.3,20.1,LOW,70.0,3,MODERATE,Compliance rule violation detected
133608.0,57.1,6.5,0.0,5.3,20.1,LOW,70.0,3,MODERATE,Compliance rule violation detected
133609.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133610.0,0.0,22.5,0.0,5.3,7.8,LOW,70.0,2,MODERATE,No significant risk indicators detected
133611.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133612.0,57.1,6.5,0.0,5.3,20.1,LOW,70.0,3,MODERATE,Compliance rule violation detected
133613.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133614.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133686.0,0.0,5.4,75.5,0.0,16.7,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133687.0,0.0,5.4,82.9,0.0,18.2,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133688.0,0.0,5.4,72.3,0.0,16.1,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133689.0,0.0,5.4,82.9,0.0,18.2,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133690.0,0.0,5.4,0.0,0.0,1.6,LOW,85.0,1,HIGH,No significant risk indicators detected
133691.0,0.0,5.4,0.0,0.0,1.6,LOW,85.0,1,HIGH,No significant risk indicators detected
133692.0,0.0,12.5,82.9,0.0,20.3,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133693.0,0.0,5.4,73.2,0.0,16.3,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133694.0,0.0,5.4,85.7,0.0,18.8,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133695.0,0.0,4.5,0.0,0.0,1.3,LOW,85.0,1,HIGH,No significant risk indicators detected
133696.0,0.0,7.2,82.2,0.0,18.6,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133697.0,0.0,21.8,0.0,0.0,6.5,LOW,85.0,1,HIGH,No significant risk indicators detected
133698.0,0.0,4.6,0.0,0.0,1.4,LOW,85.0,1,HIGH,No significant risk indicators detected
133699.0,0.0,5.2,0.0,0.0,1.6,LOW,85.0,1,HIGH,No significant risk indicators detected
133700.0,0.0,9.1,70.6,2.9,17.4,LOW,85.0,3,HIGH,Highly similar work description detected in same constituency
133701.0,0.0,7.2,70.7,0.0,16.3,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133702.0,0.0,5.8,82.4,0.0,18.2,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133703.0,0.0,7.2,78.9,0.0,17.9,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133772.0,0.0,9.0,0.0,5.3,3.8,LOW,85.0,2,HIGH,No significant risk indicators detected
133773.0,0.0,4.7,0.0,5.3,2.5,LOW,85.0,2,HIGH,No significant risk indicators detected
133774.0,0.0,4.9,0.0,5.3,2.5,LOW,85.0,2,HIGH,No significant risk indicators detected
133775.0,0.0,4.9,0.0,5.3,2.5,LOW,85.0,2,HIGH,No significant risk indicators detected
133776.0,0.0,4.9,0.0,5.3,2.5,LOW,85.0,2,HIGH,No significant risk indicators detected
133904.0,0.0,55.4,0.0,0.0,16.6,LOW,85.0,1,HIGH,Project shows moderate statistical deviation from peer projects
133905.0,0.0,48.1,0.0,0.0,14.4,LOW,85.0,1,HIGH,No significant risk indicators detected
133906.0,0.0,45.1,0.0,0.0,13.5,LOW,85.0,1,HIGH,No significant risk indicators detected
133909.0,0.0,30.7,0.0,0.0,9.2,LOW,85.0,1,HIGH,No significant risk indicators detected
