project_id,gis_risk,gis_available
134786.0,0.0,False
134787.0,0.0,False
134788.0,0.0,False
134789.0,0.0,False
134790.0,0.0,False
134791.0,0.0,False
134792.0,0.0,False
134793.0,0.0,False
134797.0,0.0,False
134798.0,0.0,False
134799.0,0.0,False
134800.0,0.0,False
134801.0,0.0,False
134802.0,0.0,False
134803.0,0.0,False
134804.0,0.0,False
134805.0,0.0,False
134826.0,0.0,False
134827.0,0.0,False
134828.0,0.0,False
134829.0,0.0,False
134837.0,0.0,False
134838.0,0.0,False
134981.0,0.0,False
134984.0,0.0,False
135003.0,0.0,False
135004.0,0.0,False
135005.0,0.0,False
135006.0,0.0,False
135007.0,0.0,False
135008.0,0.0,False
135009.0,0.0,False
135010.0,0.0,False
135011.0,0.0,False
135012.0,0.0,False
135013.0,0.0,False
135014.0,0.0,False
135018.0,0.0,False
135019.0,0.0,False
135021.0,0.0,False
135160.0,0.0,False
135163.0,0.0,False
135164.0,0.0,False
135165.0,0.0,False
135166.0,0.0,False
135168.0,0.0,False
135169.0,0.0,False
135170.0,0.0,False
135171.0,0.0,False
135172.0,0.0,False
135173.0,0.0,False
135174.0,0.0,False
135175.0,0.0,False
135176.0,0.0,False
135177.0,0.0,False
135178.0,0.0,False
135179.0,0.0,False
135180.0,0.0,False
135181.0,0.0,False
135182.0,0.0,False
135183.0,0.0,False
135184.0,0.0,False
135185.0,0.0,False
135206.0,0.0,False
135207.0,0.0,False
135208.0,0.0,False
135209.0,0.0,False
135210.0,0.0,False
135211.0,0.0,False
135212.0,0.0,False
135215.0,0.0,False
135216.0,0.0,False
135219.0,0.0,False
135221.0,0.0,False
135222.0,0.0,False
135223.0,0.0,False
135231.0,0.0,False
135232.0,0.0,False
135255.0,0.0,False
135256.0,0.0,False
135257.0,0.0,False
135258.0,0.0,False
135259.0,0.0,False
135260.0,0.0,False
135261.0,0.0,False
135262.0,0.0,False
135263.0,0.0,False
135264.0,0.0,False
135265.0,0.0,False
135266.0,0.0,False
135267.0,0.0,False
135268.0,0.0,False
135269.0,0.0,False
135271.0,0.0,False
135272.0,0.0,False
135273.0,0.0,False
135277.0,0.0,False
135279.0,0.0,False
135283.0,0.0,False
135284.0,0.0,False
135386.0,0.0,False
135387.0,0.0,False
135399.0,0.0,False
135400.0,0.0,False
135401.0,0.0,False
135402.0,0.0,False
135403.0,0.0,False
135404.0,0.0,False
135405.0,0.0,False
135406.0,0.0,False
135407.0,0.0,False
135408.0,0.0,False
135409.0,0.0,False
135410.0,0.0,False
135412.0,0.0,False
135413.0,0.0,False
135416.0,0.0,False
135417.0,0.0,False
135418.0,0.0,False
135419.0,0.0,False
135420.0,0.0,False
135422.0,0.0,False
135423.0,0.0,False
135424.0,0.0,False
135425.0,0.0,False
135428.0,0.0,False
135430.0,0.0,False
135431.0,0.0,False
135432.0,0.0,False
135434.0,0.0,False
135435.0,0.0,False
135436.0,0.0,False
135437.0,0.0,False
135440.0,0.0,False
135442.0,0.0,False
135443.0,0.0,False
135444.0,0.0,False
135445.0,0.0,False
135446.0,0.0,False
135447.0,0.0,False
135449.0,0.0,False
